date	accum	weighted_start_date	invested	total_invested	blockchain	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	ETH	ETH quote	ETH $	ETH %	factor γETH	γETH	total-γ	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff	roi	apr
2026-02-20	5,834,530,027.22	2025-09-17	$0.00	$127,065.48	Avalanche	0.149984	$67,455.00	$10,117.20	13.49%	581.62	87.23	33.1709	$1,956.62	$64,902.75	86.51%	18.6520	618.70	705.94	113.61	$75,019.95	$736.16	$6,139.20	$81,159.15	$77,574.11	$3,585.04	4.83%	11.34%
2026-02-04	5,834,530,027.22	2025-09-17	$0.00	$127,065.48	Avalanche	-0.096146	$72,354.30	-$6,956.54	-12.54%	581.62	-55.92	29.5070	$2,116.06	$62,438.68	112.54%	18.6520	550.37	494.45	65.79	$55,482.13	$1,183.37	$5,403.04	$60,885.18	$83,320.19	-$22,435.01	4.25%	11.13%
2026-02-02	5,834,530,027.22	2025-09-17	$0.00	$127,065.48	Avalanche	0.266604	$77,795.00	$20,740.49	23.39%	581.62	155.06	29.4317	$2,308.03	$67,929.15	76.61%	18.6520	548.96	704.02	113.14	$88,669.64	$1,720.89	$4,219.67	$92,889.32	$82,669.27	$10,220.04	3.32%	8.82%
2025-12-06	5,834,530,027.22	2025-09-17	$0.00	$127,065.48	Avalanche	0.462963	$89,617.00	$41,489.34	37.38%	581.62	269.27	22.9278	$3,031.24	$69,499.78	62.62%	18.6520	427.65	696.92	111.72	$110,989.12	$0.00	$2,498.78	$113,487.90	$96,879.73	$16,608.17	1.97%	9.03%
2025-11-28	5,834,530,027.22	2025-09-17	$0.00	$127,065.48	Avalanche	0.481243	$91,525.00	$44,045.75	39.18%	581.62	279.90	22.5265	$3,035.23	$68,373.22	60.82%	18.6520	420.17	700.07	112.21	$112,418.97	$0.00	$2,498.78	$114,917.75	$98,674.51	$16,243.24	1.97%	10.04%
2025-11-26	5,834,530,027.22	2025-09-17	$0.00	$127,065.48	Avalanche	0.536243	$86,651.00	$46,465.97	43.27%	581.62	311.89	20.9732	$2,904.08	$60,907.96	56.73%	18.6520	391.19	703.08	112.62	$107,373.94	$0.00	$2,498.78	$109,872.72	$93,554.64	$16,318.08	1.97%	10.33%
2025-11-23	5,834,530,027.22	2025-09-17	$0.00	$127,065.48	Avalanche	0.593243	$86,526.00	$51,330.93	48.45%	581.62	345.04	19.2750	$2,833.64	$54,618.52	51.55%	18.6520	359.52	704.56	112.78	$105,949.45	$0.00	$2,498.78	$108,448.22	$93,126.60	$15,321.63	1.97%	10.79%
2025-11-22	5,834,530,027.22	2025-09-17	$0.00	$127,065.48	Avalanche	0.707443	$83,520.00	$59,085.62	57.87%	581.62	411.46	15.7445	$2,732.01	$43,014.24	42.13%	18.6520	293.67	705.13	112.71	$102,099.86	$254.89	$2,498.78	$104,598.64	$89,877.19	$14,721.45	1.97%	10.96%
2025-11-05	5,834,530,027.22	2025-09-17	$1,428.81	$127,065.48	Avalanche	0.857400	$102,636.00	$88,000.09	70.21%	581.62	498.68	11.1778	$3,340.95	$37,344.63	29.79%	18.6520	208.49	707.17	112.83	$125,344.71	$0.00	$2,243.88	$127,588.60	$110,375.85	$17,212.75	1.77%	13.29%
2025-11-03	5,768,853,433.64	2025-09-16	$1,442.63	$125,636.67	Avalanche	0.949730	$107,858.00	$102,435.96	77.56%	581.62	552.38	7.9763	$3,715.49	$29,636.04	22.44%	18.6520	148.77	701.16	114.31	$132,072.00	$0.00	$2,243.88	$134,315.88	$115,522.38	$18,793.50	1.79%	13.86%
2025-11-02	5,702,544,555.12	2025-09-16	$1,435.39	$124,194.04	Avalanche	0.992270	$110,308.00	$109,455.30	81.78%	581.62	577.12	6.3215	$3,857.83	$24,387.45	18.22%	18.6520	117.91	695.03	114.42	$133,842.75	$0.00	$2,243.88	$136,086.64	$116,954.96	$19,131.68	1.81%	14.15%
2025-10-25	5,636,569,872.06	2025-09-15	$56,643.27	$122,758.66	Avalanche	0.987860	$111,713.00	$110,356.78	82.14%	581.62	574.56	6.0755	$3,950.44	$24,001.08	17.86%	18.6520	113.32	687.88	114.65	$134,357.87	$0.00	$2,243.88	$136,601.75	$117,159.73	$19,442.02	1.83%	17.05%
2025-10-20	3,033,528,628.98	2025-08-13	$0.00	$66,115.39	Avalanche	0.487860	$110,660.00	$53,986.57	68.80%	581.62	283.75	6.0755	$4,029.59	$24,481.96	31.20%	18.6520	113.32	397.07	125.75	$78,468.53	$0.00	$2,243.88	$80,712.41	$63,936.56	$16,775.86	3.39%	18.31%
2025-10-10	3,033,528,628.98	2025-08-13	$0.00	$66,115.39	Avalanche	0.483590	$112,464.00	$54,386.44	70.61%	581.62	281.27	5.9549	$3,802.00	$22,640.71	29.39%	18.6520	111.07	392.34	124.22	$77,027.15	$1,316.44	$2,243.88	$79,271.04	$63,902.97	$15,368.07	3.39%	21.48%
2025-10-05	3,033,528,628.98	2025-08-13	$1,517.94	$66,115.39	Avalanche	0.583470	$123,261.00	$71,919.14	82.77%	581.62	339.36	3.2921	$4,547.28	$14,969.93	17.23%	18.6520	61.40	400.76	121.59	$86,889.06	$0.00	$927.45	$87,816.51	$71,432.93	$16,383.58	1.40%	9.72%
2025-09-30	2,963,801,834.90	2025-08-12	$0.00	$64,597.45	Avalanche	0.577340	$113,056.00	$65,271.79	83.39%	581.62	335.79	3.1243	$4,162.11	$13,003.55	16.61%	18.6520	58.27	394.07	122.44	$78,275.34	$350.29	$927.45	$79,202.79	$63,919.58	$15,283.20	1.44%	10.72%
2025-09-28	2,963,801,834.90	2025-08-12	$401.76	$64,597.45	Avalanche	0.603926	$110,174.00	$66,536.98	87.17%	581.62	351.26	2.4230	$4,040.39	$9,789.91	12.83%	18.6520	45.19	396.45	122.59	$76,326.89	$0.00	$577.16	$76,904.05	$62,236.02	$14,668.03	0.89%	6.95%
2025-09-19	2,945,349,636.28	2025-08-11	$741.13	$64,195.68	Avalanche	0.603926	$116,405.00	$70,300.04	86.47%	581.62	351.26	2.4230	$4,541.24	$11,003.48	13.53%	18.6520	45.19	396.45	122.66	$81,303.52	$0.00	$577.16	$81,880.68	$66,275.09	$15,605.59	0.90%	8.59%
2025-09-02	2,911,317,784.49	2025-08-11	$0.00	$63,454.56	Avalanche	0.578442	$108,776.00	$62,920.64	102.32%	581.62	336.43	-0.3246	$4,393.12	-$1,425.96	-2.32%	18.6520	-6.05	330.38	99.14	$61,494.68	$0.00	$577.16	$62,071.85	$61,668.26	$403.59	0.91%	15.34%
2025-08-31	2,911,317,784.49	2025-08-11	$298.39	$63,454.56	Avalanche	0.576475	$108,355.00	$62,463.98	101.99%	581.62	335.29	-0.2732	$4,471.07	-$1,221.45	-1.99%	18.6520	-5.10	330.19	99.17	$61,242.54	$0.00	$577.16	$61,819.70	$61,744.62	$75.08	0.91%	16.90%
2025-08-29	2,897,621,713.95	2025-08-11	$0.00	$63,156.17	Avalanche	0.567149	$108,078.00	$61,296.35	100.80%	581.62	329.87	-0.1119	$4,328.55	-$484.27	-0.80%	18.6520	-2.09	327.78	101.66	$60,812.07	$0.00	$577.16	$61,389.24	$60,861.00	$528.24	0.91%	18.81%
2025-08-25	2,897,621,713.95	2025-08-11	$0.00	$63,156.17	Avalanche	0.553532	$111,395.00	$61,660.75	98.24%	581.62	321.95	0.2395	$4,609.46	$1,103.91	1.76%	18.6520	4.47	326.41	101.56	$62,764.66	$0.00	$577.16	$63,341.82	$63,217.17	$124.65	0.91%	24.29%
2025-08-24	2,897,621,713.95	2025-08-11	$0.00	$63,156.17	Avalanche	0.538239	$114,701.00	$61,736.61	95.37%	581.62	313.05	0.6236	$4,810.58	$2,999.91	4.63%	18.6520	11.63	324.68	101.38	$64,736.52	$462.08	$577.16	$65,313.68	$65,305.45	$8.23	0.91%	26.19%
2025-08-19	2,897,621,713.95	2025-08-11	$34,368.30	$63,156.17	Avalanche	0.486373	$114,561.00	$55,719.43	87.44%	581.62	282.88	1.8775	$4,261.27	$8,000.32	12.56%	18.6520	35.02	317.90	100.43	$63,719.75	$0.00	$115.08	$63,834.83	$63,433.55	$401.28	0.18%	8.60%
2025-08-17	1,320,529,163.55	2025-08-02	$4,629.78	$28,787.87	Avalanche	0.173136	$118,311.00	$20,483.89	66.78%	581.62	100.70	2.2403	$4,547.86	$10,188.57	33.22%	18.6520	41.79	142.49	97.56	$30,672.46	$0.00	$115.08	$30,787.54	$31,428.17	-$640.62	0.40%	9.75%
2025-08-15	1,108,087,258.66	2025-07-30	$0.00	$24,158.09	Avalanche	0.149323	$118,774.00	$17,735.65	67.48%	581.62	86.85	1.8404	$4,644.40	$8,547.42	32.52%	18.6520	34.33	121.18	101.48	$26,283.07	$0.00	$115.08	$26,398.15	$26,619.91	-$221.76	0.48%	10.98%
2025-08-12	1,108,087,258.66	2025-07-30	$0.00	$24,158.09	Avalanche	0.145146	$118,881.00	$17,255.06	67.04%	581.62	84.42	1.9528	$4,344.17	$8,483.30	32.96%	18.6520	36.42	120.84	101.20	$25,738.36	$61.19	$115.08	$25,853.45	$25,827.86	$25.59	0.48%	13.54%
2025-08-11	1,108,087,258.66	2025-07-30	$0.00	$24,158.09	Avalanche	0.136120	$119,887.00	$16,318.98	64.04%	581.62	79.17	2.1935	$4,178.51	$9,165.40	35.96%	18.6520	40.91	120.08	100.55	$25,484.38	$0.00	$53.89	$25,538.27	$25,512.37	$25.90	0.22%	6.88%
2025-08-10	1,108,087,258.66	2025-07-30	$0.00	$24,158.09	Avalanche	0.131962	$118,367.00	$15,619.91	61.73%	581.62	76.75	2.3117	$4,189.81	$9,685.38	38.27%	18.6520	43.12	119.87	100.37	$25,305.29	$53.89	$53.89	$25,359.18	$25,361.22	-$2.04	0.22%	7.51%
2025-08-07	1,108,087,258.66	2025-07-30	$0.00	$24,158.09	Avalanche	0.127842	$116,384.00	$14,878.71	61.50%	581.62	74.36	2.4284	$3,836.05	$9,315.35	38.50%	18.6520	45.29	119.65	100.18	$24,194.07	$0.00	$0.00	$24,194.07	$24,167.86	$26.21	0.00%	0.00%
2025-08-06	1,108,087,258.66	2025-07-30	$0.00	$24,158.09	Avalanche	0.123628	$113,883.00	$14,079.08	60.56%	581.62	71.90	2.5549	$3,588.72	$9,168.83	39.44%	18.6520	47.65	119.56	100.10	$23,247.90	$0.00	$0.00	$23,247.90	$23,206.48	$41.43	0.00%	0.00%
2025-07-31	1,108,087,258.66	2025-07-30	$3,933.03	$24,158.09	Avalanche	0.119300	$117,991.00	$14,076.37	58.18%	581.62	69.39	2.6807	$3,774.84	$10,119.12	41.82%	18.6520	50.00	119.39	99.95	$24,195.49	$0.00	$0.00	$24,195.49	$24,195.49	$0.00	0.00%	0.00%
2025-07-30	927,682,952.69	2025-07-30	$20,225.06	$20,225.06	Avalanche	0.085967	$117,633.00	$10,112.56	50.00%	581.62	50.00	2.6807	$3,772.37	$10,112.50	50.00%	18.6520	50.00	100.00	100.00	$20,225.06	$0.00	$0.00	$20,225.06	$20,225.06	$0.00	0.00%	0.00%
